,연도,시도,행정구역,코드,학제,date.x,성별,학생수,인구수_2년전_4세,인구수_1년전_5세,4세대비5세변동치,5세대비1학년변동치,4세대비1학년변동치,4세대비5세변동률,5세대비1학년변동률,4세대비1학년변동률
3524,2019,서울,동작구,1159000000,초등학교,2019-04-01,여자,1378,1503,1456,-47,-78,-125,-0.031270792,-0.053571429,-0.083166999
3525,2019,서울,동작구,1159000000,초등학교,2019-04-01,남자,1427,1620,1564,-56,-137,-193,-0.034567901,-0.087595908,-0.119135802
3526,2019,서울,관악구,1162000000,초등학교,2019-04-01,전체,2581,3181,2999,-182,-418,-600,-0.057214712,-0.139379793,-0.188619931
3527,2019,서울,관악구,1162000000,초등학교,2019-04-01,여자,1263,1567,1479,-88,-216,-304,-0.056158264,-0.146044625,-0.194001276
3528,2019,서울,관악구,1162000000,초등학교,2019-04-01,남자,1318,1614,1520,-94,-202,-296,-0.058240397,-0.132894737,-0.183395291
3529,2019,서울,서초구,1165000000,초등학교,2019-04-01,전체,3854,4349,4375,26,-521,-495,0.005978386,-0.119085714,-0.113819269
3530,2019,서울,서초구,1165000000,초등학교,2019-04-01,여자,1870,2121,2147,26,-277,-251,0.012258369,-0.129017233,-0.118340405
3531,2019,서울,서초구,1165000000,초등학교,2019-04-01,남자,1984,2228,2228,0,-244,-244,0,-0.10951526,-0.10951526
3532,2019,서울,강남구,1168000000,초등학교,2019-04-01,전체,4096,4468,4501,33,-405,-372,0.007385855,-0.089980004,-0.083258729
3533,2019,서울,강남구,1168000000,초등학교,2019-04-01,여자,1980,2185,2194,9,-214,-205,0.004118993,-0.097538742,-0.09382151
3534,2019,서울,강남구,1168000000,초등학교,2019-04-01,남자,2116,2283,2307,24,-191,-167,0.010512484,-0.082791504,-0.073149365
3535,2019,서울,송파구,1171000000,초등학교,2019-04-01,전체,5620,5748,5763,15,-143,-128,0.002609603,-0.024813465,-0.022268615
3536,2019,서울,송파구,1171000000,초등학교,2019-04-01,여자,2767,2819,2810,-9,-43,-52,-0.003192621,-0.015302491,-0.018446258
3537,2019,서울,송파구,1171000000,초등학교,2019-04-01,남자,2853,2929,2953,24,-100,-76,0.008193923,-0.033863867,-0.025947422
3538,2019,서울,강동구,1174000000,초등학교,2019-04-01,전체,3292,3616,3441,-175,-149,-324,-0.048396018,-0.043301366,-0.08960177
