,시도,행정구역,평균,최대,최소,표준편차,표준편차 보정값,최대 - 최소,평균 * 표준편차 보정값,,
120,부산,서구,-3.597134415,16.8498168,-17.7325581,7.708362671,0.159589636,34.5823749,-0.574065373,,
121,부산,수영구,-11.24174486,-4.2955326,-22.147651,4.73794771,0.086089913,17.8521184,-0.967800842,,
122,부산,연제구,-1.03011923,5.4018445,-8.6084906,3.735559194,0.061286888,14.0103351,-0.063132802,,
123,부산,영도구,-10.531932,2.2408964,-17.6855895,4.739324308,0.086123976,19.9264859,-0.907051858,,
124,부산,중구,10.07714197,23.7623762,-10.15625,8.220235227,0.172255372,33.9186262,1.735841841,,
125,부산,해운대구,-4.80146437,-0.1210654,-9.9473684,3.005541201,0.043223378,9.826303,-0.207535509,,
126,서울,강남구,-8.2601899,-1.2912482,-16.6923472,4.764119985,0.086737518,15.401099,-0.716468372,,
127,서울,강동구,-7.467153041,14.7883125,-17.8642715,9.61870804,0.206859078,32.652584,-1.54464839,,
128,서울,강북구,-24.90905214,-19.7812215,-31.5707621,3.094149363,0.045415892,11.7895406,-1.131266813,,
129,서울,강서구,-8.463830548,2.0553691,-15.8301158,5.834036851,0.11321146,17.8854849,-0.958202615,,
130,서울,관악구,-19.8691752,-14.3193872,-25.1840168,2.550831001,0.031972063,10.8646296,-0.635258526,,
131,서울,광진구,-3.24407553,4.0061633,-12.1661721,4.223031374,0.073348863,16.1723354,-0.23794925,,
132,서울,구로구,-13.31622791,-9.4042056,-16.9268293,2.037769458,0.019276907,7.5226237,-0.25669569,,
133,서울,금천구,-8.11407753,-0.2574003,-17.4870466,3.728272924,0.061106597,17.2296463,-0.495823666,,
134,서울,노원구,-1.303467881,3.2537068,-5.0585284,1.879987678,0.015372767,8.3122352,-0.020037908,,
135,서울,도봉구,1.923401052,12.1522694,-5.0833333,3.980550401,0.067348932,17.2356027,0.129539006,,
136,서울,동대문구,-9.428855352,-2.6373626,-15.3017241,3.467504939,0.054654174,12.6643615,-0.515326299,,
137,서울,동작구,-9.998657126,-3.4831461,-16.9849932,3.376469595,0.052401602,13.5018471,-0.523945652,,
