,prov,distinct,입학년도,총입학자,남자입학,여자입학,인구나이,인구연도,인구총합,인구남자,인구여자,(입학합계)/(인구총합*총합보정),(입학남자)/(인구남자*남자보정),(입학여자)/(인구여자*여자보정),,,
190,강원,홍천군,2018,474,232,242,5,2017,485,239,246,1.001253272,0.992241093,1.010257572,,,
191,강원,홍천군,2019,443,220,223,5,2018,415,207,208,1.093611264,1.086374244,1.101015374,,,
192,강원,홍천군,2020,384,195,189,5,2019,399,191,208,0.985974479,1.043586301,0.933147559,,,
193,강원,화천군,2009,237,110,127,5,2008,240,121,119,1.011682994,0.929254002,1.095995106,,,
194,강원,화천군,2010,200,95,105,5,2009,229,122,107,0.894750312,0.795959371,1.007760604,,,
195,강원,화천군,2011,221,120,101,5,2010,201,116,85,1.126428322,1.057426968,1.220265417,,,
196,강원,화천군,2012,188,112,76,5,2011,222,114,108,0.86758537,1.00424643,0.722672772,,,
197,강원,화천군,2013,190,93,97,5,2012,256,129,127,0.760363009,0.736920034,0.784368002,,,
198,강원,화천군,2014,243,117,126,5,2013,232,125,107,1.073064022,0.956759921,1.209312725,,,
199,강원,화천군,2015,191,99,92,5,2014,234,115,119,0.836228289,0.879963138,0.79394921,,,
200,강원,화천군,2016,208,97,111,5,2015,231,111,120,0.922483698,0.893255874,0.949934341,,,
201,강원,화천군,2017,197,101,96,5,2016,211,105,106,0.956513527,0.983239235,0.930073398,,,
202,강원,화천군,2018,190,100,90,5,2017,228,109,119,0.853740923,0.937779268,0.776689445,,,
203,강원,화천군,2019,191,87,104,5,2018,195,96,99,1.003473946,0.926350083,1.078822511,,,
204,강원,화천군,2020,180,94,86,5,2019,195,104,91,0.945682253,0.923892921,0.970529888,,,
205,강원,횡성군,2009,303,156,147,5,2008,302,160,142,1.027881455,0.996624917,1.063116468,,,
206,강원,횡성군,2010,292,152,140,5,2009,315,175,140,0.949685141,0.887835824,1.026956044,,,
207,강원,횡성군,2011,309,164,145,5,2010,308,154,154,1.027815371,1.088554688,0.966939132,,,
208,강원,횡성군,2012,291,148,143,5,2011,290,146,144,1.028021828,1.03618186,1.019824405,,,
209,강원,횡성군,2013,292,156,136,5,2012,318,156,162,0.940725847,1.022179402,0.862135938,,,
210,강원,횡성군,2014,314,159,155,5,2013,288,156,132,1.116977707,1.041836698,1.205895354,,,
211,강원,횡성군,2015,293,156,137,5,2014,282,140,142,1.064451448,1.138999905,0.99079562,,,
212,강원,횡성군,2016,260,135,125,5,2015,278,135,143,0.95815528,1.022179402,0.897688849,,,
213,강원,횡성군,2017,255,126,129,5,2016,264,138,126,0.989563342,0.933294237,1.051407378,,,
214,강원,횡성군,2018,268,143,125,5,2017,269,125,144,1.020680598,1.169373236,0.891454899,,,
215,강원,횡성군,2019,265,132,133,5,2018,236,117,119,1.150379718,1.153228044,1.147774402,,,
216,강원,횡성군,2020,221,114,107,5,2019,227,116,111,0.9974101,1.004555619,0.989948619,,,
217,경기,가평군,2009,478,254,224,5,2008,443,243,200,1.105430685,1.068450898,1.150190769,,,
218,경기,가평군,2010,463,254,209,5,2009,493,257,236,0.962146971,1.010247347,0.90946531,,,
219,경기,가평군,2011,494,261,233,5,2010,447,227,220,1.132209439,1.175281163,1.08763981,,,
220,경기,가평군,2012,447,236,211,5,2011,421,224,197,1.087759219,1.076939013,1.099937692,,,
221,경기,가평군,2013,440,233,207,5,2012,452,230,222,0.997290282,1.035512177,0.957567122,,,
222,경기,가평군,2014,450,234,216,5,2013,462,245,217,0.997879001,0.976285633,1.022223527,,,
223,경기,가평군,2015,438,224,214,5,2014,407,209,198,1.102521447,1.09554156,1.109942391,,,
224,경기,가평군,2016,418,217,201,5,2015,461,234,227,0.928929386,0.947918506,0.909331123,,,
225,경기,가평군,2017,459,238,221,5,2016,460,224,236,1.022261957,1.086065615,0.961683414,,,
226,경기,가평군,2018,422,196,226,5,2017,472,231,241,0.915962719,0.867303735,0.963037618,,,
227,경기,가평군,2019,436,204,232,5,2018,368,194,174,1.213796877,1.074869062,1.369274725,,,
228,경기,가평군,2020,357,189,168,5,2019,338,174,164,1.082078732,1.110298316,1.052003752,,,
229,경기,고양시,2009,9576,4986,4590,5,2008,10419,5460,4959,0.941597821,0.933440751,0.950540077,,,
230,경기,고양시,2010,9935,5232,4703,5,2009,9837,4988,4849,1.034695464,1.072181763,0.996035115,,,
231,경기,고양시,2011,9446,4811,4635,5,2010,8718,4482,4236,1.110039471,1.097212205,1.123687739,,,
232,경기,고양시,2012,8370,4267,4103,5,2011,9057,4691,4366,0.946778605,0.929788853,0.965094056,,,
233,경기,고양시,2013,8587,4387,4200,5,2012,9692,5035,4657,0.90768551,0.890625827,0.926178953,,,
234,경기,고양시,2014,9425,4870,4555,5,2013,9459,4796,4663,1.020806622,1.037951144,1.003170658,,,
235,경기,고양시,2015,9234,4715,4519,5,2014,9023,4682,4341,1.048446461,1.029383999,1.069065736,,,
236,경기,고양시,2016,8646,4490,4156,5,2015,9625,4955,4670,0.92028393,0.926253384,0.913924908,,,
237,경기,고양시,2017,9165,4721,4444,5,2016,9617,4901,4716,0.976338013,0.984637616,0.967725331,,,
238,경기,고양시,2018,9095,4631,4464,5,2017,9872,5086,4786,0.943854177,0.930733939,0.957862888,,,
239,경기,고양시,2019,9283,4787,4496,5,2018,8768,4477,4291,1.084663821,1.092957963,1.076018265,,,
240,경기,고양시,2020,8550,4305,4245,5,2019,8895,4558,4337,0.984753442,0.965441493,1.00517141,,,
241,경기,과천시,2009,757,390,367,5,2008,744,401,343,1.042390127,0.994139568,1.098813026,,,
242,경기,과천시,2010,711,391,320,5,2009,762,392,370,0.955920939,1.019571802,0.8881782,,,
243,경기,과천시,2011,677,349,328,5,2010,741,376,365,0.936004218,0.948778222,0.92285365,,,
244,경기,과천시,2012,606,312,294,5,2011,666,375,291,0.932192791,0.850453263,1.03754322,,,
245,경기,과천시,2013,590,331,259,5,2012,636,333,303,0.950390839,1.016040187,0.877827113,,,
246,경기,과천시,2014,578,304,274,5,2013,658,341,317,0.899931161,0.911268441,0.887652858,,,
247,경기,과천시,2015,554,278,276,5,2014,585,302,283,0.970199941,0.940946602,1.001554304,,,
248,경기,과천시,2016,496,258,238,5,2015,559,298,261,0.909027902,0.884974113,0.936458002,,,
249,경기,과천시,2017,440,229,211,5,2016,516,245,271,0.873595363,0.955424829,0.799585702,,,
250,경기,과천시,2018,418,205,213,5,2017,501,262,239,0.854763367,0.799796861,0.915236976,,,
251,경기,과천시,2019,466,242,224,5,2018,477,250,227,1.000863572,0.989469661,1.013383938,,,
252,경기,과천시,2020,483,253,230,5,2019,478,240,238,1.035205521,1.077547453,0.992436513,,,
253,경기,광명시,2009,3051,1612,1439,5,2008,3371,1760,1611,0.927237101,0.936223407,0.917312071,,,
254,경기,광명시,2010,3376,1785,1591,5,2009,3270,1658,1612,1.057698846,1.100476618,1.013577584,,,
255,경기,광명시,2011,3560,1794,1766,5,2010,3314,1745,1569,1.100537484,1.050882434,1.155898262,,,
256,경기,광명시,2012,3308,1765,1543,5,2011,3743,1958,1785,0.90542612,0.92142321,0.887727269,,,
257,경기,광명시,2013,3595,1859,1736,5,2012,3993,1978,2015,0.922373739,0.96068327,0.88476213,,,
258,경기,광명시,2014,3800,1877,1923,5,2013,3874,1979,1895,1.00491962,0.969495067,1.042130065,,,
259,경기,광명시,2015,3612,1822,1790,5,2014,3479,1833,1646,1.063654687,1.016045211,1.1167991,,,
260,경기,광명시,2016,3274,1735,1539,5,2015,3516,1798,1718,0.953975352,0.986363328,0.919956549,,,
261,경기,광명시,2017,3272,1651,1621,5,2016,3426,1791,1635,0.978437933,0.942277048,1.018162536,,,
262,경기,광명시,2018,3176,1654,1522,5,2017,3333,1711,1622,0.976230845,0.988126669,0.963641861,,,
263,경기,광명시,2019,3071,1575,1496,5,2018,2808,1449,1359,1.12044375,1.111064568,1.130482886,,,
