"","연도","시도","행정구역","학제","date.x","성별","학생수","인구수_2년전_4세","인구수_1년전_5세","4세대비5세변동치","5세대비1학년변동치","4세대비1학년변동치","4세대비5세변동률","5세대비1학년변동률","4세대비1학년변동률"
"138","2021","대구","북구","초등학교",2021-04-01,"남자",1795,1976,1990,14,-195,-181,0.00708502024291498,-0.0979899497487437,-0.0915991902834008
"139","2021","대구","수성구","초등학교",2021-04-01,"전체",3367,3064,3285,221,82,303,0.0721279373368146,0.0249619482496195,0.0988903394255875
"140","2021","대구","수성구","초등학교",2021-04-01,"여자",1642,1522,1627,105,15,120,0.068988173455979,0.00921942224953903,0.0788436268068331
"141","2021","대구","수성구","초등학교",2021-04-01,"남자",1725,1542,1658,116,67,183,0.0752269779507134,0.0404101326899879,0.118677042801556
"142","2021","대구","달서구","초등학교",2021-04-01,"전체",4623,4772,4772,0,-149,-149,0,-0.0312238055322716,-0.0312238055322716
"143","2021","대구","달서구","초등학교",2021-04-01,"여자",2263,2349,2341,-8,-78,-86,-0.00340570455512984,-0.0333190944041008,-0.0366113239676458
"144","2021","대구","달서구","초등학교",2021-04-01,"남자",2360,2423,2431,8,-71,-63,0.00330169211721007,-0.0292060880296174,-0.0260008254230293
"145","2021","대구","달성군","초등학교",2021-04-01,"전체",3089,3275,3244,-31,-155,-186,-0.00946564885496183,-0.0477805178791615,-0.056793893129771
"146","2021","대구","달성군","초등학교",2021-04-01,"여자",1526,1625,1612,-13,-86,-99,-0.008,-0.0533498759305211,-0.0609230769230769
"147","2021","대구","달성군","초등학교",2021-04-01,"남자",1563,1650,1632,-18,-69,-87,-0.0109090909090909,-0.0422794117647059,-0.0527272727272727
"148","2021","인천","중구","초등학교",2021-04-01,"전체",1426,1193,1290,97,136,233,0.0813076278290025,0.105426356589147,0.195305951383068
"149","2021","인천","중구","초등학교",2021-04-01,"여자",726,586,625,39,101,140,0.0665529010238908,0.1616,0.238907849829352
"150","2021","인천","중구","초등학교",2021-04-01,"남자",700,607,665,58,35,93,0.0955518945634267,0.0526315789473684,0.153212520593081
"151","2021","인천","동구","초등학교",2021-04-01,"전체",564,469,472,3,92,95,0.00639658848614072,0.194915254237288,0.202558635394456
"152","2021","인천","동구","초등학교",2021-04-01,"여자",257,216,217,1,40,41,0.00462962962962963,0.184331797235023,0.189814814814815
"153","2021","인천","동구","초등학교",2021-04-01,"남자",307,253,255,2,52,54,0.00790513833992095,0.203921568627451,0.213438735177866
"154","2021","인천","연수구","초등학교",2021-04-01,"전체",4278,3678,4021,343,257,600,0.0932572050027189,0.0639144491420045,0.163132137030995
"155","2021","인천","연수구","초등학교",2021-04-01,"여자",2068,1765,1944,179,124,303,0.101416430594901,0.0637860082304527,0.171671388101983
"156","2021","인천","연수구","초등학교",2021-04-01,"남자",2210,1913,2077,164,133,297,0.0857292211186618,0.0640346653827636,0.155253528489284
"157","2021","인천","미추홀구","초등학교",2021-04-01,"전체",2700,3288,3113,-175,-413,-588,-0.0532238442822384,-0.132669450690652,-0.178832116788321
"158","2021","인천","미추홀구","초등학교",2021-04-01,"여자",1333,1624,1551,-73,-218,-291,-0.0449507389162562,-0.140554480980013,-0.179187192118227
"159","2021","인천","미추홀구","초등학교",2021-04-01,"남자",1367,1664,1562,-102,-195,-297,-0.0612980769230769,-0.124839948783611,-0.178485576923077
"160","2021","인천","남동구","초등학교",2021-04-01,"전체",4447,5051,4932,-119,-485,-604,-0.0235596911502673,-0.0983373884833739,-0.119580281132449
"161","2021","인천","남동구","초등학교",2021-04-01,"여자",2169,2514,2439,-75,-270,-345,-0.0298329355608592,-0.11070110701107,-0.137231503579952
"162","2021","인천","남동구","초등학교",2021-04-01,"남자",2278,2537,2493,-44,-215,-259,-0.0173433188805676,-0.0862414761331729,-0.102089081592432
"163","2021","인천","부평구","초등학교",2021-04-01,"전체",3663,4026,3818,-208,-155,-363,-0.0516641828117238,-0.0405971712938711,-0.0901639344262295
"164","2021","인천","부평구","초등학교",2021-04-01,"여자",1798,1970,1883,-87,-85,-172,-0.0441624365482233,-0.0451407328730749,-0.0873096446700508
"165","2021","인천","부평구","초등학교",2021-04-01,"남자",1865,2056,1935,-121,-70,-191,-0.058852140077821,-0.0361757105943152,-0.0928988326848249
"166","2021","인천","계양구","초등학교",2021-04-01,"전체",2099,2208,2128,-80,-29,-109,-0.036231884057971,-0.0136278195488722,-0.0493659420289855
"167","2021","인천","계양구","초등학교",2021-04-01,"여자",1034,1072,1028,-44,6,-38,-0.041044776119403,0.00583657587548638,-0.0354477611940298
"168","2021","인천","계양구","초등학교",2021-04-01,"남자",1065,1136,1100,-36,-35,-71,-0.0316901408450704,-0.0318181818181818,-0.0625
"169","2021","인천","서구","초등학교",2021-04-01,"전체",5137,5720,5675,-45,-538,-583,-0.00786713286713287,-0.0948017621145374,-0.101923076923077
"170","2021","인천","서구","초등학교",2021-04-01,"여자",2488,2747,2738,-9,-250,-259,-0.00327630141973062,-0.0913075237399562,-0.0942846741900255
"171","2021","인천","서구","초등학교",2021-04-01,"남자",2649,2973,2937,-36,-288,-324,-0.012108980827447,-0.0980592441266599,-0.108980827447023
"172","2021","인천","강화군","초등학교",2021-04-01,"전체",340,329,338,9,2,11,0.027355623100304,0.00591715976331361,0.033434650455927
"173","2021","인천","강화군","초등학교",2021-04-01,"여자",158,171,174,3,-16,-13,0.0175438596491228,-0.0919540229885057,-0.0760233918128655
"174","2021","인천","강화군","초등학교",2021-04-01,"남자",182,158,164,6,18,24,0.0379746835443038,0.109756097560976,0.151898734177215
"175","2021","인천","옹진군","초등학교",2021-04-01,"전체",76,103,92,-11,-16,-27,-0.106796116504854,-0.173913043478261,-0.262135922330097
"176","2021","인천","옹진군","초등학교",2021-04-01,"여자",38,62,51,-11,-13,-24,-0.17741935483871,-0.254901960784314,-0.387096774193548
"177","2021","인천","옹진군","초등학교",2021-04-01,"남자",38,41,41,0,-3,-3,0,-0.0731707317073171,-0.0731707317073171
"178","2021","광주","동구","초등학교",2021-04-01,"전체",624,705,778,73,-154,-81,0.10354609929078,-0.197943444730077,-0.114893617021277
"179","2021","광주","동구","초등학교",2021-04-01,"여자",288,322,359,37,-71,-34,0.114906832298137,-0.197771587743733,-0.105590062111801
"180","2021","광주","동구","초등학교",2021-04-01,"남자",336,383,419,36,-83,-47,0.0939947780678851,-0.198090692124105,-0.122715404699739
"181","2021","광주","서구","초등학교",2021-04-01,"전체",2372,2396,2399,3,-27,-24,0.00125208681135225,-0.0112546894539391,-0.010016694490818
"182","2021","광주","서구","초등학교",2021-04-01,"여자",1145,1183,1177,-6,-32,-38,-0.00507185122569738,-0.0271877655055225,-0.0321217244294167
"183","2021","광주","서구","초등학교",2021-04-01,"남자",1227,1213,1222,9,5,14,0.00741962077493817,0.00409165302782324,0.0115416323165705
"184","2021","광주","남구","초등학교",2021-04-01,"전체",2243,1919,2012,93,231,324,0.0484627410109432,0.114811133200795,0.168837936425221
"185","2021","광주","남구","초등학교",2021-04-01,"여자",1128,915,960,45,168,213,0.0491803278688525,0.175,0.232786885245902
