"","연도","시도","행정구역","학제","date.x","성별","학생수","인구수_2년전_4세","인구수_1년전_5세","4세대비5세변동치","5세대비1학년변동치","4세대비1학년변동치","4세대비5세변동률","5세대비1학년변동률","4세대비1학년변동률","전체인구","n_2","n_1","n_2_diff","n_1_diff","n_2_diff_rate","n_1_diff_rate"
"72","2021","서울","송파구","초등학교",2021-04-01,"남자",2610,2940,2878,-62,-268,-330,-0.0210884353741497,-0.0931202223766504,-0.112244897959184,660160,679824,672862,-19664,-12702,-0.0289251335639813,-0.0188775707351582
"73","2021","서울","강동구","초등학교",2021-04-01,"전체",3763,3280,3831,551,-68,483,0.167987804878049,-0.017749934742887,0.147256097560976,465331,424727,455042,40604,10289,0.0956002326200124,0.022611099634759
"74","2021","서울","강동구","초등학교",2021-04-01,"여자",1823,1603,1858,255,-35,220,0.159076731129133,-0.0188374596340151,0.137242669993762,465331,424727,455042,40604,10289,0.0956002326200124,0.022611099634759
"75","2021","서울","강동구","초등학교",2021-04-01,"남자",1940,1677,1973,296,-33,263,0.176505664877758,-0.0167257982767359,0.156827668455575,465331,424727,455042,40604,10289,0.0956002326200124,0.022611099634759
"76","2021","부산","중구","초등학교",2021-04-01,"전체",218,189,175,-14,43,29,-0.0740740740740741,0.245714285714286,0.153439153439153,41311,42543,41714,-1232,-403,-0.0289589356650918,-0.00966102507551422
"77","2021","부산","중구","초등학교",2021-04-01,"여자",104,92,87,-5,17,12,-0.0543478260869565,0.195402298850575,0.130434782608696,41311,42543,41714,-1232,-403,-0.0289589356650918,-0.00966102507551422
"78","2021","부산","중구","초등학교",2021-04-01,"남자",114,97,88,-9,26,17,-0.0927835051546392,0.295454545454545,0.175257731958763,41311,42543,41714,-1232,-403,-0.0289589356650918,-0.00966102507551422
"79","2021","부산","서구","초등학교",2021-04-01,"전체",604,598,607,9,-3,6,0.0150501672240803,-0.00494233937397035,0.0100334448160535,106545,110052,107722,-3507,-1177,-0.0318667538981572,-0.0109262731846791
"80","2021","부산","서구","초등학교",2021-04-01,"여자",296,284,286,2,10,12,0.00704225352112676,0.034965034965035,0.0422535211267606,106545,110052,107722,-3507,-1177,-0.0318667538981572,-0.0109262731846791
"81","2021","부산","서구","초등학교",2021-04-01,"남자",308,314,321,7,-13,-6,0.0222929936305732,-0.0404984423676012,-0.0191082802547771,106545,110052,107722,-3507,-1177,-0.0318667538981572,-0.0109262731846791
"82","2021","부산","동구","초등학교",2021-04-01,"전체",385,433,453,20,-68,-48,0.046189376443418,-0.150110375275938,-0.110854503464203,88159,86485,89673,1674,-1514,0.0193559576805226,-0.0168835658447916
"83","2021","부산","동구","초등학교",2021-04-01,"여자",189,214,218,4,-29,-25,0.0186915887850467,-0.13302752293578,-0.116822429906542,88159,86485,89673,1674,-1514,0.0193559576805226,-0.0168835658447916
"84","2021","부산","동구","초등학교",2021-04-01,"남자",196,219,235,16,-39,-23,0.0730593607305936,-0.165957446808511,-0.105022831050228,88159,86485,89673,1674,-1514,0.0193559576805226,-0.0168835658447916
"85","2021","부산","영도구","초등학교",2021-04-01,"전체",532,583,570,-13,-38,-51,-0.0222984562607204,-0.0666666666666667,-0.0874785591766724,111387,119045,115645,-7658,-4258,-0.064328615229535,-0.036819577154222
"86","2021","부산","영도구","초등학교",2021-04-01,"여자",259,280,271,-9,-12,-21,-0.0321428571428571,-0.044280442804428,-0.075,111387,119045,115645,-7658,-4258,-0.064328615229535,-0.036819577154222
"87","2021","부산","영도구","초등학교",2021-04-01,"남자",273,303,299,-4,-26,-30,-0.0132013201320132,-0.0869565217391304,-0.099009900990099,111387,119045,115645,-7658,-4258,-0.064328615229535,-0.036819577154222
"88","2021","부산","부산진구","초등학교",2021-04-01,"전체",2579,2428,2389,-39,190,151,-0.0160626029654036,0.0795311845960653,0.0621911037891269,357193,359247,356978,-2054,215,-0.00571751469044975,0.000602278011530122
"89","2021","부산","부산진구","초등학교",2021-04-01,"여자",1273,1174,1159,-15,114,99,-0.0127768313458262,0.0983606557377049,0.0843270868824531,357193,359247,356978,-2054,215,-0.00571751469044975,0.000602278011530122
"90","2021","부산","부산진구","초등학교",2021-04-01,"남자",1306,1254,1230,-24,76,52,-0.0191387559808612,0.0617886178861789,0.0414673046251994,357193,359247,356978,-2054,215,-0.00571751469044975,0.000602278011530122
"91","2021","부산","동래구","초등학교",2021-04-01,"전체",2081,2044,2269,225,-188,37,0.110078277886497,-0.0828558836491847,0.0181017612524462,268996,267567,272570,1429,-3574,0.00534071839950368,-0.0131122280515097
"92","2021","부산","동래구","초등학교",2021-04-01,"여자",990,979,1094,115,-104,11,0.117466802860061,-0.0950639853747715,0.0112359550561798,268996,267567,272570,1429,-3574,0.00534071839950368,-0.0131122280515097
"93","2021","부산","동래구","초등학교",2021-04-01,"남자",1091,1065,1175,110,-84,26,0.103286384976526,-0.0714893617021277,0.0244131455399061,268996,267567,272570,1429,-3574,0.00534071839950368,-0.0131122280515097
"94","2021","부산","남구","초등학교",2021-04-01,"전체",1922,2117,2087,-30,-165,-195,-0.0141709966934341,-0.0790608528988979,-0.0921114785073217,265194,278497,271674,-13303,-6480,-0.0477671213693505,-0.0238521168753727
"95","2021","부산","남구","초등학교",2021-04-01,"여자",929,1012,996,-16,-67,-83,-0.0158102766798419,-0.0672690763052209,-0.0820158102766798,265194,278497,271674,-13303,-6480,-0.0477671213693505,-0.0238521168753727
"96","2021","부산","남구","초등학교",2021-04-01,"남자",993,1105,1091,-14,-98,-112,-0.0126696832579186,-0.0898258478460128,-0.101357466063348,265194,278497,271674,-13303,-6480,-0.0477671213693505,-0.0238521168753727
"97","2021","부산","북구","초등학교",2021-04-01,"전체",2001,2217,2169,-48,-168,-216,-0.0216508795669824,-0.0774550484094053,-0.0974289580514208,282073,293971,289059,-11898,-6986,-0.0404733800272816,-0.0241680764134658
"98","2021","부산","북구","초등학교",2021-04-01,"여자",981,1091,1087,-4,-106,-110,-0.00366636113657195,-0.0975160993560258,-0.100824931255729,282073,293971,289059,-11898,-6986,-0.0404733800272816,-0.0241680764134658
"99","2021","부산","북구","초등학교",2021-04-01,"남자",1020,1126,1082,-44,-62,-106,-0.0390763765541741,-0.0573012939001848,-0.0941385435168739,282073,293971,289059,-11898,-6986,-0.0404733800272816,-0.0241680764134658
"100","2021","부산","해운대구","초등학교",2021-04-01,"전체",3026,3167,3180,13,-154,-141,0.00410483107041364,-0.0484276729559748,-0.0445216293021787,399821,408384,405268,-8563,-5447,-0.0209680104999216,-0.0134404887629914
"101","2021","부산","해운대구","초등학교",2021-04-01,"여자",1451,1549,1568,19,-117,-98,0.0122659780503551,-0.0746173469387755,-0.0632666236281472,399821,408384,405268,-8563,-5447,-0.0209680104999216,-0.0134404887629914
"102","2021","부산","해운대구","초등학교",2021-04-01,"남자",1575,1618,1612,-6,-37,-43,-0.00370828182941904,-0.0229528535980149,-0.0265760197775031,399821,408384,405268,-8563,-5447,-0.0209680104999216,-0.0134404887629914
"103","2021","부산","사하구","초등학교",2021-04-01,"전체",2071,2389,2313,-76,-242,-318,-0.0318124738384261,-0.104626026805015,-0.133110087902888,308684,325166,318196,-16482,-9512,-0.0506879563053948,-0.0298935247457542
"104","2021","부산","사하구","초등학교",2021-04-01,"여자",972,1187,1148,-39,-176,-215,-0.0328559393428812,-0.153310104529617,-0.181128896377422,308684,325166,318196,-16482,-9512,-0.0506879563053948,-0.0298935247457542
"105","2021","부산","사하구","초등학교",2021-04-01,"남자",1099,1202,1165,-37,-66,-103,-0.0307820299500832,-0.0566523605150215,-0.0856905158069883,308684,325166,318196,-16482,-9512,-0.0506879563053948,-0.0298935247457542
"106","2021","부산","금정구","초등학교",2021-04-01,"전체",1527,1588,1574,-14,-47,-61,-0.00881612090680101,-0.0298602287166455,-0.0384130982367758,230204,241986,236904,-11782,-6700,-0.0486887671187589,-0.0282814979907473
"107","2021","부산","금정구","초등학교",2021-04-01,"여자",724,771,766,-5,-42,-47,-0.00648508430609598,-0.0548302872062663,-0.0609597924773022,230204,241986,236904,-11782,-6700,-0.0486887671187589,-0.0282814979907473
